# ========
# captured on    : Sat Sep 12 09:32:09 2026
# header version : 1
# data offset    : 256
# data size      : 118438368
# feat offset    : 118438624
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/original/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/original/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 
# event : name = cpu-clock, , id = { 361 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 479.488404
# time of last sample : 617.592046
# sample duration : 138103.641 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu-clock'
# Event count (approx.): 136944706500
#
# Overhead       Samples        Period  Command  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ............  ............  .......  ....................  ..........................................  ....................
#
     0.46%           124     623115500  python   python3.10d           [.] write_size_t                            -      -            
     0.44%           120     603015000  python   python3.10d           [.] arena_map_get                           -      -            
     0.44%           119     597989875  python   python3.10d           [.] _PyObjectDict_SetItem                   -      -            
     0.43%           116     582914500  python   python3.10d           [.] _PyTuple_FromArray                      -      -            
     0.41%           111     557788875  python   python3.10d           [.] PyType_GenericAlloc                     -      -            
     0.39%           107     537688375  python   python3.10d           [.] PyDict_SetItem                          -      -            
     0.39%           107     537688375  python   python3.10d           [.] get_float_state                         -      -            
     0.37%           101     507537625  python   python3.10d           [.] tuple_alloc                             -      -            
     0.36%            99     497487375  python   python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.6   -      -            
     0.35%            96     482412000  python   python3.10d           [.] slot_nb_subtract                        -      -            
     0.35%            95     477386875  python   python3.10d           [.] PyThread_tss_get                        -      -            
     0.33%            90     452261250  python   python3.10d           [.] _PyTrash_cond                           -      -            
     0.32%            88     442211000  python   python3.10d           [.] _PyObject_Free                          -      -            
     0.32%            87     437185875  python   python3.10d           [.] PyObject_GC_UnTrack                     -      -            
     0.29%            80     402010000  python   python3.10d           [.] listiter_next.lto_priv.0                -      -            
     0.29%            79     396984875  python   python3.10d           [.] lookup_maybe_method.lto_priv.0          -      -            
     0.28%            77     386934625  python   python3.10d           [.] PyNumber_Multiply                       -      -            
     0.28%            76     381909500  python   python3.10d           [.] slot_tp_init                            -      -            
     0.27%            73     366834125  python   python3.10d           [.] arena_map_is_used                       -      -            
     0.26%            71     356783875  python   python3.10d           [.] PyNumber_Subtract                       -      -            
     0.26%            70     351758750  python   python3.10d           [.] _PyGILState_GetThisThreadState          -      -            
     0.25%            68     341708500  python   python3.10d           [.] vectorcall_maybe.lto_priv.0             -      -            
     0.23%            63     316582875  python   python3.10d           [.] _PyObject_FastCallDictTstate            -      -            
     0.23%            62     311557750  python   python3.10d           [.] get_type_cache.lto_priv.0               -      -            
     0.22%            61     306532625  python   python3.10d           [.] PyUnicode_InternInPlace                 -      -            
     0.22%            60     301507500  python   python3.10d           [.] _PyMem_DebugRawFree                     -      -            
     0.21%            58     291457250  python   python3.10d           [.] PyCallable_Check                        -      -            
