# ========
# captured on    : Sat Sep 12 09:46:13 2026
# header version : 1
# data offset    : 256
# data size      : 7749288
# feat offset    : 7749544
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/optimized/2026-09-12-09-45/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/optimized/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 --batch-size 1024 
# event : name = cpu-clock, , id = { 725 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 1450.743646
# time of last sample : 1461.439241
# sample duration :  10695.595 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 8864320500
#
# Overhead       Samples        Period  Command  Shared Object                                      Symbol                                           IPC   [IPC Coverage]
# ........  ............  ............  .......  .................................................  ...............................................  ....................
#
     0.57%            10      50251250  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _aligned_strided_to_contig_size8_srcstride0  -      -            
     0.57%            10      50251250  python   python3.10d                                        [.] PyTuple_GetItem                              -      -            
     0.57%            10      50251250  python   python3.10d                                        [.] lookdict_unicode_nodummy                     -      -            
     0.51%             9      45226125  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _contig_to_contig                            -      -            
     0.51%             9      45226125  python   python3.10d                                        [.] list_dealloc.lto_priv.0                      -      -            
     0.51%             9      45226125  python   python3.10d                                        [.] tuple_iter.lto_priv.0                        -      -            
     0.45%             8      40201000  python   python3.10d                                        [.] PyContextVar_Get                             -      -            
     0.45%             8      40201000  python   python3.10d                                        [.] PyThread_tss_is_created                      -      -            
     0.45%             8      40201000  python   python3.10d                                        [.] _PyGILState_GetThisThreadState               -      -            
     0.45%             8      40201000  python   python3.10d                                        [.] _PyLong_New                                  -      -            
     0.45%             8      40201000  python   python3.10d                                        [.] _PyObject_IsFreed                            -      -            
     0.45%             8      40201000  python   python3.10d                                        [.] frame_dealloc.lto_priv.0                     -      -            
     0.45%             8      40201000  python   [unknown]                                          [k] 0xffffffff86d5e965                           -      -            
     0.40%             7      35175875  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArrayIdentityHash_GetItem                  -      -            
     0.40%             7      35175875  python   libc.so.6                                          [.] __strchr_avx2                                -      -            
     0.40%             7      35175875  python   python3.10d                                        [.] PyObject_GC_UnTrack                          -      -            
     0.40%             7      35175875  python   python3.10d                                        [.] PyObject_RichCompare                         -      -            
     0.34%             6      30150750  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] count_nonzero_int                            -      -            
     0.34%             6      30150750  python   libc.so.6                                          [.] __strcmp_avx2                                -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] BB_setitem                                   -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] _PyEval_MakeFrameVector                      -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] _PyMem_DebugFree                             -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] _PyObject_GC_Alloc                           -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] _Py_CheckSlotResult                          -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] convertsimple                                -      -            
